iso2c,country,year,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y
JP,Japan,1970,8.261925468,8.936364554,7.546532802,8.176893287,7.369769827,7.963379241,8.578910292,9.231950159,10.00066324,10.62545167,8.657360103,9.027759262,7.893210227,8.241022326,7.700852012,7.951297042,7.033175369,7.030082084,6.02188472,5.112997366,5.009887416,4.178803083,4.57714862,4.006951257,3.73321644,3.403052073,2.964447005,2.680136755,2.165148637,1.823379524,1.368846028,1.004427259,1.117021795,0.60605306
JP,Japan,1971,8.33273636,9.002688685,7.574237418,8.202152911,7.202591824,7.781997214,8.152756639,8.781580687,9.804120254,10.44147335,8.847826,9.247158569,7.88497045,8.2255491,7.656867134,7.916138925,7.104580128,7.198733278,6.14690133,5.364079068,5.080794314,4.197673161,4.592190814,3.954760227,3.813136848,3.423647478,3.016586088,2.704357102,2.213203425,1.863207204,1.404755217,1.043035172,1.171745756,0.651767872
JP,Japan,1972,8.486669045,9.165424216,7.599761867,8.22119729,7.102779022,7.673566893,7.753753617,8.353011809,9.435808495,10.06942289,9.0875362,9.528774176,7.886273361,8.21309831,7.579823053,7.849369033,7.15586696,7.296762447,6.259227024,5.659530964,5.182704666,4.246353741,4.574770937,3.879512938,3.904782194,3.452122258,3.067178398,2.72418674,2.264828897,1.901848246,1.445985239,1.080056194,1.212251024,0.685761858
JP,Japan,1973,8.666036705,9.359382854,7.623438731,8.235245848,7.059595775,7.626743756,7.400163761,7.968612671,8.958387171,9.577089575,9.313852168,9.801282933,7.912956477,8.226423651,7.492284846,7.773010485,7.185931152,7.338812941,6.359735377,5.96709737,5.306013749,4.333425294,4.54793121,3.802581482,3.996700349,3.479728315,3.120998636,2.744615578,2.322081312,1.941915967,1.492971726,1.115771928,1.240920855,0.708259355
JP,Japan,1974,8.761862449,9.463254409,7.658477056,8.261222641,7.052466378,7.618353609,7.109936127,7.652261066,8.471588651,9.071646643,9.43713911,9.963429559,7.991106343,8.302179549,7.427200436,7.716533001,7.195959379,7.35261377,6.45334069,6.244579548,5.437621558,4.472579051,4.54698448,3.755068344,4.073828143,3.494764359,3.187252356,2.773487983,2.38682607,1.985274679,1.546119393,1.151544776,1.262291383,0.721207013
JP,Japan,1975,8.706017842,9.40215663,7.720527953,8.318973082,7.063485513,7.627629872,6.892044418,7.41642887,8.038417208,8.620033236,9.406427739,9.957998259,8.130997683,8.456010317,7.403708394,7.696831603,7.188999961,7.357452211,6.542496393,6.467793429,5.569417782,4.668674588,4.591754763,3.754962643,4.129073706,3.492301033,3.270696662,2.814593054,2.459270291,2.032570595,1.606496413,1.189956517,1.280167279,0.725634061
JP,Japan,1976,8.673080975,9.371679845,7.811974511,8.412452727,7.085308012,7.645219659,6.739920416,7.251446072,7.633733986,8.191382008,9.209503224,9.770863873,8.304933207,8.651879029,7.391819874,7.678110012,7.148026164,7.327349081,6.614060248,6.625410207,5.692170821,4.90213819,4.664766755,3.7797638,4.150786777,3.457158194,3.351203305,2.846615867,2.51203534,2.065487801,1.658039041,1.235428741,1.358637344,0.787614893
JP,Japan,1977,8.369316921,9.045226636,7.950874208,8.56209493,7.128224557,7.6854275,6.678453506,7.188103471,7.283633065,7.816940669,8.883614201,9.446566815,8.555391598,8.941203704,7.413843029,7.689860726,7.101218377,7.29711709,6.687474485,6.742519235,5.825123927,5.197865319,4.783126033,3.845586615,4.158872564,3.415486034,3.456305989,2.897594164,2.573777333,2.1027606,1.71797623,1.282816592,1.432773979,0.842829899
JP,Japan,1978,7.894215703,8.531273324,8.116288845,8.744341241,7.185522948,7.741146026,6.683263876,7.198264216,6.989784295,7.4998054,8.471928,9.02906109,8.810816437,9.243483734,7.474251267,7.741437948,7.057791052,7.272859837,6.751204162,6.821048873,5.960460499,5.519969362,4.931569617,3.954674446,4.167526885,3.379726692,3.57030958,2.954884402,2.646957768,2.147018052,1.78622685,1.331600192,1.501882215,0.889405165
JP,Japan,1979,7.413073982,8.010225631,8.253163475,8.897078701,7.26458202,7.821251747,6.715747346,7.23695968,6.749909031,7.240226815,8.045066858,8.590836321,8.962761211,9.436227103,7.579147027,7.846546481,7.029036402,7.258999411,6.789548011,6.86733834,6.08547658,5.81290809,5.086011516,4.109999128,4.197827966,3.367504912,3.670035498,2.999264955,2.733353982,2.198891313,1.859963013,1.379585617,1.565296081,0.926155755
